,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223
188,7.147424901931172e+17,13.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,18.0,0.0,3.0,1.0,2.0,0.0,0.0,3.0,13.0,0.0,0.0,0.0,2.0,0.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,9.0,0.0,1.0,3.0,1.0,4.0,0.0,2.0,6.0,1.0,63.0,1.0,8.0,1.0,2.0,134.0,32.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,17.0,0.0,0.0,36.0,0.0,0.0,2.0,1.0,4.0,18.0,0.0,11.0,1.0,0.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,21.0,0.0,0.0,0.0,1.0,37.0,0.0,0.0,1.0,5.0,1.0,21.0,2.0,1.0,0.0,3.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,8.0,1.0,0.0,5.0,7.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,30.0,1.0,1.0,0.0,0.0,10.0,10.0,0.0,84.0,0.0,0.0,0.0,0.0,22.0,0.0,4.0,0.0
189,7.21953897317675e+17,1.0,0.0,20.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,9.0,0.0,2.0,1.0,0.0,15.0,0.0,0.0,8.0,0.0,1.0,6.0,1.0,1.0,0.0,33.0,0.0,1.0,0.0,1.0,3.0,1.0,2.0,2.0,0.0,5.0,0.0,1.0,6.0,2.0,2.0,2.0,0.0,2.0,6.0,2.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,21.0,0.0,1.0,2.0,8.0,0.0,10.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,3.0,4.0,10.0,12.0,0.0,2.0,2.0,8.0,28.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,6.0,0.0,2.0,0.0,16.0,10.0,2.0,0.0,0.0,27.0,20.0,13.0,0.0,3.0,0.0,0.0,6.0,1.0,11.0,2.0,0.0,2.0,0.0,11.0,0.0,0.0,20.0,2.0,0.0,11.0,11.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,3.0,45.0,2.0,8.0,2.0,3.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,16.0,0.0,0.0,1.0,3.0,5.0,33.0,14.0,3.0,4.0,10.0,10.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,5.0,0.0,0.0,4.0,15.0,1.0,13.0,0.0,0.0,0.0,12.0,4.0,5.0,0.0,15.0,0.0,2.0,0.0,0.0,1.0,3.0
190,72845927.0,6.0,2.0,5.0,1.0,0.0,2.0,7.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,12.0,17.0,0.0,1.0,9.0,0.0,5.0,1.0,1.0,23.0,1.0,0.0,8.0,4.0,14.0,5.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,35.0,0.0,0.0,29.0,1.0,0.0,1.0,0.0,0.0,11.0,0.0,1.0,17.0,2.0,0.0,0.0,0.0,0.0,2.0,22.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,6.0,0.0,2.0,6.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,6.0,0.0,1.0,1.0,17.0,2.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,2.0,12.0,0.0,1.0,1.0,14.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,13.0,1.0,0.0,0.0,12.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,11.0,5.0,0.0,1.0,24.0,0.0,0.0,1.0,0.0,3.0,1.0,6.0,1.0,0.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,19.0,0.0,24.0,3.0,0.0,1.0,17.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,11.0,16.0,0.0,1.0,0.0,2.0
191,7.372017044212367e+17,0.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,3.0,0.0,3.0,1.0,1.0,4.0,2.0,0.0,1.0,2.0,2.0,6.0,1.0,1.0,0.0,2.0,2.0,1.0,3.0,1.0,6.0,0.0,11.0,0.0,0.0,4.0,0.0,2.0,8.0,1.0,0.0,12.0,0.0,4.0,3.0,2.0,3.0,3.0,2.0,0.0,1.0,3.0,2.0,0.0,2.0,2.0,1.0,3.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,8.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,3.0,1.0,5.0,1.0,1.0,3.0,0.0,2.0,1.0,0.0,9.0,4.0,2.0,5.0,1.0,2.0,0.0,5.0,5.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,6.0,6.0,6.0,2.0,1.0,0.0,2.0,1.0,0.0,4.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,6.0,0.0,1.0,3.0,7.0,18.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,2.0,4.0,5.0,0.0,0.0,2.0,2.0,3.0,4.0,2.0,2.0,6.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,6.0,3.0,1.0,2.0,3.0,4.0,1.0,0.0,0.0,1.0,8.0,1.0,1.0,0.0,1.0,3.0,8.0,0.0,2.0,0.0,1.0
192,739018201.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,74262470.0,1.0,4.0,1.0,0.0,0.0,0.0,10.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,10.0,4.0,1.0,3.0,1.0,4.0,1.0,2.0,4.0,2.0,0.0,0.0,2.0,4.0,19.0,1.0,12.0,3.0,3.0,7.0,3.0,4.0,0.0,1.0,0.0,8.0,1.0,0.0,11.0,0.0,3.0,13.0,1.0,0.0,2.0,0.0,2.0,5.0,36.0,3.0,2.0,4.0,0.0,0.0,5.0,1.0,0.0,2.0,2.0,1.0,3.0,0.0,3.0,3.0,4.0,5.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,6.0,2.0,0.0,2.0,5.0,5.0,2.0,1.0,4.0,0.0,1.0,2.0,2.0,3.0,3.0,2.0,6.0,0.0,8.0,1.0,8.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,3.0,5.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,3.0,7.0,4.0,1.0,0.0,0.0,1.0,2.0,4.0,2.0,6.0,0.0,16.0,0.0,2.0,1.0,0.0,4.0,5.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,6.0,0.0,1.0,0.0,6.0,5.0,2.0,1.0,2.0,0.0,0.0,2.0,3.0,10.0,1.0,8.0,10.0,0.0,1.0,2.0,1.0,3.0,4.0,3.0,6.0,12.0,4.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,13.0,0.0,0.0,5.0,2.0,2.0,2.0,0.0,0.0,2.0,8.0,4.0,1.0,0.0,0.0,4.0,1.0,0.0,3.0,0.0,2.0
194,74558431.0,3.0,7.0,20.0,0.0,1.0,2.0,31.0,4.0,3.0,0.0,2.0,13.0,3.0,1.0,1.0,8.0,11.0,18.0,1.0,17.0,3.0,22.0,4.0,4.0,22.0,19.0,1.0,6.0,12.0,8.0,77.0,3.0,13.0,0.0,12.0,11.0,32.0,2.0,9.0,14.0,1.0,61.0,1.0,0.0,23.0,0.0,15.0,65.0,1.0,1.0,4.0,0.0,1.0,37.0,6.0,1.0,14.0,13.0,0.0,1.0,19.0,6.0,2.0,8.0,6.0,11.0,18.0,9.0,5.0,23.0,4.0,9.0,13.0,4.0,1.0,18.0,0.0,3.0,0.0,17.0,12.0,11.0,0.0,16.0,17.0,18.0,20.0,16.0,11.0,7.0,1.0,22.0,1.0,73.0,73.0,9.0,43.0,0.0,52.0,1.0,50.0,52.0,2.0,12.0,2.0,2.0,0.0,1.0,2.0,0.0,2.0,5.0,0.0,8.0,25.0,7.0,14.0,1.0,25.0,27.0,12.0,5.0,4.0,13.0,42.0,27.0,1.0,5.0,0.0,2.0,13.0,13.0,42.0,25.0,6.0,26.0,0.0,10.0,2.0,14.0,18.0,23.0,16.0,8.0,18.0,16.0,12.0,0.0,2.0,0.0,1.0,20.0,16.0,1.0,2.0,42.0,3.0,4.0,3.0,39.0,11.0,10.0,2.0,11.0,0.0,0.0,3.0,12.0,14.0,15.0,8.0,35.0,7.0,2.0,12.0,7.0,22.0,47.0,20.0,30.0,72.0,3.0,20.0,2.0,0.0,0.0,2.0,2.0,14.0,2.0,6.0,0.0,9.0,0.0,5.0,2.0,0.0,3.0,8.0,1.0,5.0,0.0,34.0,1.0,0.0,17.0,30.0,7.0,18.0,2.0,1.0,4.0,50.0,14.0,21.0,0.0,6.0,6.0,11.0,0.0,15.0,1.0,15.0
195,756940009.0,2.0,2.0,3.0,0.0,1.0,3.0,2.0,0.0,13.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,3.0,2.0,1.0,5.0,1.0,6.0,1.0,1.0,4.0,0.0,0.0,2.0,2.0,0.0,7.0,1.0,27.0,0.0,7.0,3.0,1.0,1.0,0.0,5.0,2.0,5.0,3.0,0.0,6.0,0.0,10.0,15.0,2.0,1.0,1.0,0.0,0.0,7.0,1.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,24.0,3.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,6.0,0.0,4.0,0.0,5.0,2.0,5.0,5.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,5.0,0.0,8.0,4.0,16.0,7.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,4.0,2.0,1.0,1.0,3.0,1.0,0.0,1.0,3.0,6.0,5.0,0.0,1.0,3.0,0.0,1.0,6.0,2.0,4.0,3.0,1.0,4.0,0.0,8.0,1.0,0.0,8.0,1.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,7.0,0.0,1.0,0.0,8.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,3.0,2.0,3.0,4.0,8.0,1.0,0.0,1.0,1.0,2.0,9.0,11.0,5.0,5.0,3.0,4.0,0.0,0.0,1.0,0.0,4.0,3.0,1.0,1.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,16.0,5.0,0.0,0.0,4.0,4.0,2.0,3.0,0.0,1.0,0.0,8.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,2.0,9.0,5.0
196,7.583418613417984e+17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
197,78585532.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,2.0,0.0,5.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,6.0,0.0,2.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,2.0,0.0,0.0,0.0,13.0,0.0,1.0,14.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,9.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,5.0,2.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
198,7.891363535019049e+17,10.0,1.0,0.0,2.0,0.0,1.0,9.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,4.0,9.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,12.0,2.0,0.0,0.0,4.0,4.0,12.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,3.0,7.0,0.0,0.0,18.0,0.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,7.0,1.0,3.0,0.0,3.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,11.0,1.0,0.0,1.0,7.0,3.0,0.0,0.0,4.0,0.0,5.0,0.0,7.0,0.0,14.0,6.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,1.0,2.0,9.0,4.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,4.0,2.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,3.0,0.0,4.0,1.0,0.0,6.0,4.0,5.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,3.0,1.0,8.0,0.0,3.0,8.0,1.0,5.0,4.0,6.0,2.0,6.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,8.0,1.0,0.0,1.0,14.0,0.0,2.0,0.0,3.0,5.0,1.0,0.0,3.0,0.0,1.0,7.0,3.0,1.0,2.0,2.0,6.0
199,79345413.0,3.0,4.0,0.0,3.0,0.0,0.0,8.0,7.0,1.0,0.0,0.0,3.0,0.0,2.0,2.0,2.0,10.0,4.0,1.0,8.0,0.0,6.0,3.0,5.0,3.0,4.0,0.0,1.0,5.0,5.0,12.0,0.0,17.0,0.0,5.0,19.0,3.0,1.0,0.0,7.0,1.0,17.0,2.0,0.0,6.0,0.0,6.0,37.0,12.0,0.0,3.0,4.0,0.0,10.0,1.0,1.0,1.0,44.0,0.0,1.0,2.0,1.0,1.0,3.0,3.0,7.0,2.0,0.0,3.0,6.0,2.0,1.0,5.0,0.0,1.0,7.0,0.0,1.0,0.0,2.0,2.0,4.0,0.0,3.0,1.0,7.0,12.0,1.0,4.0,1.0,6.0,1.0,2.0,5.0,9.0,3.0,9.0,0.0,12.0,2.0,20.0,13.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,4.0,1.0,8.0,1.0,2.0,31.0,7.0,2.0,5.0,2.0,1.0,1.0,1.0,5.0,6.0,5.0,2.0,2.0,1.0,0.0,1.0,1.0,4.0,3.0,2.0,2.0,8.0,0.0,2.0,2.0,0.0,4.0,3.0,4.0,1.0,0.0,5.0,1.0,4.0,0.0,0.0,3.0,9.0,5.0,0.0,2.0,4.0,6.0,12.0,2.0,7.0,4.0,2.0,8.0,2.0,0.0,0.0,2.0,8.0,5.0,2.0,10.0,9.0,0.0,3.0,7.0,1.0,10.0,3.0,3.0,5.0,7.0,3.0,6.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,4.0,8.0,4.0,0.0,1.0,3.0,0.0,1.0,2.0,0.0,7.0,0.0,0.0,5.0,6.0,3.0,1.0,0.0,0.0,5.0,9.0,3.0,9.0,0.0,2.0,5.0,3.0,0.0,2.0,7.0,4.0
200,7.966306506483999e+17,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,3.0,4.0,27.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0
201,79752693.0,9.0,4.0,9.0,2.0,0.0,4.0,16.0,0.0,0.0,0.0,0.0,8.0,7.0,0.0,0.0,24.0,32.0,4.0,0.0,31.0,0.0,10.0,0.0,2.0,67.0,3.0,1.0,9.0,8.0,25.0,15.0,13.0,3.0,0.0,2.0,7.0,3.0,0.0,0.0,15.0,2.0,5.0,0.0,0.0,77.0,2.0,2.0,85.0,0.0,0.0,2.0,0.0,0.0,19.0,2.0,0.0,32.0,4.0,0.0,1.0,0.0,0.0,5.0,44.0,2.0,1.0,0.0,3.0,0.0,2.0,1.0,4.0,4.0,0.0,1.0,14.0,0.0,1.0,0.0,1.0,2.0,32.0,0.0,12.0,1.0,6.0,10.0,0.0,2.0,1.0,7.0,2.0,1.0,5.0,2.0,0.0,7.0,0.0,5.0,2.0,27.0,11.0,0.0,31.0,1.0,0.0,0.0,2.0,0.0,0.0,17.0,1.0,14.0,2.0,1.0,2.0,38.0,0.0,1.0,2.0,3.0,0.0,0.0,6.0,1.0,2.0,0.0,5.0,0.0,0.0,2.0,34.0,2.0,4.0,2.0,35.0,0.0,2.0,1.0,2.0,5.0,3.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,5.0,20.0,1.0,3.0,4.0,0.0,1.0,1.0,5.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,19.0,17.0,5.0,3.0,61.0,0.0,1.0,2.0,1.0,7.0,4.0,10.0,4.0,4.0,0.0,60.0,1.0,3.0,0.0,0.0,0.0,0.0,19.0,1.0,0.0,1.0,5.0,2.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,51.0,3.0,0.0,3.0,29.0,1.0,2.0,0.0,3.0,7.0,4.0,2.0,0.0,0.0,0.0,28.0,30.0,1.0,0.0,1.0,5.0
202,8.176314543644795e+17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
